Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,RegCheck,RegDate,CleanedRegDate
REG100723,17-12-2023,2023,Karnataka,Belgaum (KA-22),4W,SUV,Toyota,EV,BS6,0,5,1,REG19,17/12/2023,12/17/2023
REG100724,6/9/2022,2022,Telangana,Khammam (TS-07),2W,Motorcycle,Hero,Petrol,BS6,250,2,2,REG19,6/9/2022,6/9/2022
REG100725,11/11/2023,2023,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,Ather,Petrol,BS6,400,2,1,REG19,11/11/2023,11/11/2023
REG100726,8/3/2024,2024,Telangana,Khammam (TS-07),4W,Hatchback,Honda,Diesel,BS6,800,8,0,REG19,8/3/2024,8/3/2024
REG100727,30-03-2022,2022,Rajasthan,Kota (RJ-20),4W,Sedan,MG,CNG,BS6,1498,5,2,REG19,30/03/2022,3/30/2022
REG100728,17-04-2020,2020,Kerala,Thiruvananthapuram (KL-01),2W,Moped,TVS,CNG,BS6,125,2,4,REG19,17/04/2020,4/17/2020
REG100729,9/8/2023,2023,Karnataka,Mangalore (KA-19),4W,Hatchback,Hyundai,Petrol,BS6,800,6,1,REG19,9/8/2023,9/8/2023
REG100730,3/2/2024,2024,Karnataka,Bangalore Central (KA-01),4W,Hatchback,MG,Petrol,BS6,1498,5,0,REG19,3/2/2024,3/2/2024
REG100731,15-01-2020,2020,Karnataka,Bangalore Central (KA-01),HCV,Bus,Eicher,Diesel,BS6,3760,2,4,REG19,15/01/2020,1/15/2020
REG100732,9/11/2024,2024,Kerala,Kozhikode (KL-11),HCV,Trailer,Volvo,Diesel,BS6,4998,52,0,REG19,9/11/2024,9/11/2024
REG100733,24-05-2020,2020,Punjab,Chandigarh (CH-01),2W,Moped,Hero,EV,BS6,0,2,4,REG19,24/05/2020,5/24/2020
REG100734,6/7/2024,2024,Telangana,Hyderabad (TS-09),OTH,Tractor,TAFE,Diesel,BS6,0,2,0,REG19,6/7/2024,6/7/2024
REG100735,27-07-2020,2020,West Bengal,Kolkata (WB-01),2W,Scooter,Suzuki,Petrol,BS6,110,2,4,REG19,27/07/2020,7/27/2020
REG100736,28-05-2023,2023,Rajasthan,Jaipur (RJ-14),3W,Tempo,Piaggio,Diesel,BS6,200,3,1,REG19,28/05/2023,5/28/2023
REG100737,16-08-2023,2023,Rajasthan,Udaipur (RJ-27),2W,Scooter,KTM,EV,BS6,0,2,1,REG19,16/08/2023,8/16/2023
REG100738,13-12-2024,2024,Telangana,Karimnagar (TS-01),2W,Scooter,Bajaj,Petrol,BS6,200,2,0,REG19,13/12/2024,12/13/2024
REG100739,13-12-2022,2022,Tamil Nadu,Chennai Central (TN-01),OTH,Crane,Mahindra,Diesel,BS6,3760,1,2,REG19,13/12/2022,12/13/2022
REG100740,3/2/2024,2024,Tamil Nadu,Salem (TN-30),2W,Moped,Honda,CNG,BS6,200,2,0,REG19,3/2/2024,3/2/2024
REG100741,13-09-2023,2023,Delhi,Delhi West (DL-08),2W,Scooter,Honda,Petrol,BS6,160,2,1,REG19,13/09/2023,9/13/2023
REG100742,6/9/2023,2023,Kerala,Kollam (KL-02),4W,MUV,Toyota,Diesel,BS6,0,7,1,REG19,6/9/2023,6/9/2023
REG100743,16-01-2020,2020,Tamil Nadu,Salem (TN-30),2W,Scooter,KTM,EV,BS6,0,2,4,REG19,16/01/2020,1/16/2020
REG100744,17-06-2021,2021,Kerala,Thiruvananthapuram (KL-01),LCV,Pickup Van,Tata Motors,Diesel,BS6,2956,12,3,REG19,17/06/2021,6/17/2021
REG100745,14-04-2022,2022,Punjab,Patiala (PB-11),2W,Motorcycle,Ather,Hybrid,BS6,160,2,2,REG19,14/04/2022,4/14/2022
REG100746,7/10/2023,2023,Madhya Pradesh,Jabalpur (MP-20),3W,E-Rickshaw,Atul Auto,CNG,BS6,200,3,1,REG19,7/10/2023,7/10/2023
REG100747,1/4/2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Scooter,Suzuki,EV,BS6,0,2,2,REG19,1/4/2022,1/4/2022
REG100748,19-07-2019,2019,Madhya Pradesh,Gwalior (MP-07),LCV,Mini Truck,Force Motors,Diesel,BS6,0,9,5,REG19,19/07/2019,7/19/2019
REG100749,29-01-2024,2024,Punjab,Jalandhar (PB-08),4W,MUV,MG,CNG,BS6,1968,7,0,REG19,29/01/2024,1/29/2024
REG100750,1/2/2024,2024,West Bengal,Asansol (WB-39),OTH,Road Roller,John Deere,Petrol,BS6,3760,52,0,REG19,1/2/2024,1/2/2024
REG100751,24-06-2023,2023,Maharashtra,Pune (MH-12),LCV,Pickup Van,Eicher,Diesel,BS6,0,9,1,REG19,24/06/2023,6/24/2023
REG100752,1/5/2023,2023,Uttar Pradesh,Agra (UP-80),OTH,Crane,John Deere,Diesel,BS6,5660,52,1,REG19,1/5/2023,1/5/2023
REG100753,20-01-2018,2018,Karnataka,Bangalore Central (KA-01),LCV,Mini Truck,Ashok Leyland,Diesel,BS4,0,15,6,REG19,20/01/2018,1/20/2018
REG100754,12/1/2023,2023,Uttar Pradesh,Allahabad (UP-70),3W,E-Rickshaw,TVS,CNG,BS6,250,6,1,REG19,12/1/2023,12/1/2023
REG100755,22-06-2023,2023,Punjab,Jalandhar (PB-08),2W,Motorcycle,KTM,Petrol,BS6,350,2,1,REG19,22/06/2023,6/22/2023
REG100756,8/2/2020,2020,Telangana,Nizamabad (TS-05),2W,Scooter,Yamaha,EV,BS6,0,2,4,REG19,8/2/2020,8/2/2020
REG100757,17-02-2023,2023,Delhi,Delhi West (DL-08),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1,REG19,17/02/2023,2/17/2023
REG100758,27-06-2022,2022,Karnataka,Belgaum (KA-22),2W,Motorcycle,Ola Electric,EV,BS6,0,2,2,REG19,27/06/2022,6/27/2022
REG100759,1/8/2022,2022,Madhya Pradesh,Gwalior (MP-07),3W,E-Rickshaw,Mahindra,EV,BS6,0,6,2,REG19,1/8/2022,1/8/2022
REG100760,6/4/2023,2023,Punjab,Patiala (PB-11),3W,Tempo,Piaggio,CNG,BS6,0,3,1,REG19,6/4/2023,6/4/2023
REG100761,16-10-2024,2024,Madhya Pradesh,Jabalpur (MP-20),2W,Moped,Ather,EV,BS6,0,2,0,REG19,16/10/2024,10/16/2024
REG100762,3/6/2023,2023,Telangana,Warangal (TS-03),2W,Motorcycle,Bajaj,Petrol,BS6,250,2,1,REG19,3/6/2023,3/6/2023
REG100763,27-11-2021,2021,Uttar Pradesh,Agra (UP-80),LCV,Mini Truck,Mahindra,Diesel,BS6,2956,12,3,REG19,27/11/2021,11/27/2021
REG100764,7/6/2020,2020,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,Honda,Petrol,BS6,350,2,4,REG19,7/6/2020,7/6/2020
REG100765,15-01-2020,2020,West Bengal,Asansol (WB-39),OTH,Crane,Mahindra,Diesel,BS6,5660,32,4,REG19,15/01/2020,1/15/2020
REG100766,10/6/2018,2018,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,KTM,Petrol,BS4,0,2,6,REG19,10/6/2018,10/6/2018
REG100767,23-07-2023,2023,Gujarat,Ahmedabad (GJ-01),LCV,Pickup Van,Ashok Leyland,CNG,BS6,2956,9,1,REG19,23/07/2023,7/23/2023
REG100768,26-09-2023,2023,Karnataka,Belgaum (KA-22),4W,Hatchback,Renault,EV,BS4,0,8,1,REG19,26/09/2023,9/26/2023
REG100769,1/5/2023,2023,Karnataka,Mysore (KA-09),4W,SUV,Toyota,CNG,BS6,1968,6,1,REG19,1/5/2023,1/5/2023
REG100770,29-01-2020,2020,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,KTM,Petrol,BS6,350,2,4,REG19,29/01/2020,1/29/2020
REG100771,7/5/2022,2022,Telangana,Nizamabad (TS-05),4W,Hatchback,Toyota,Diesel,BS6,1498,6,2,REG19,7/5/2022,7/5/2022
REG100772,18-01-2024,2024,Rajasthan,Udaipur (RJ-27),4W,SUV,Maruti Suzuki,EV,BS6,0,6,0,REG19,18/01/2024,1/18/2024
REG100773,15-08-2019,2019,Gujarat,Gandhinagar (GJ-18),2W,Moped,Yamaha,CNG,BS4,250,2,5,REG19,15/08/2019,8/15/2019
REG100774,30-04-2024,2024,Maharashtra,Nashik (MH-15),HCV,Trailer,Volvo,Diesel,BS6,5660,2,0,REG19,30/04/2024,4/30/2024
REG100775,8/9/2024,2024,Tamil Nadu,Salem (TN-30),4W,MUV,Maruti Suzuki,Petrol,BS6,2179,8,0,REG19,8/9/2024,8/9/2024
REG100776,30-06-2021,2021,Rajasthan,Udaipur (RJ-27),LCV,Mini Truck,Mahindra,CNG,BS6,0,15,3,REG19,30/06/2021,6/30/2021
REG100777,5/4/2018,2018,Kerala,Kollam (KL-02),4W,MUV,Maruti Suzuki,Hybrid,BS4,2179,6,6,REG19,5/4/2018,5/4/2018
REG100778,8/5/2019,2019,Maharashtra,Nashik (MH-15),2W,Scooter,Yamaha,EV,BS4,0,2,5,REG19,8/5/2019,8/5/2019
REG100779,10/3/2022,2022,Kerala,Kochi (KL-07),LCV,Light Bus,Force Motors,Diesel,BS6,3298,9,2,REG19,10/3/2022,10/3/2022
REG100780,21-07-2021,2021,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Mahindra,Petrol,BS6,1968,6,3,REG19,21/07/2021,7/21/2021
REG100781,27-03-2020,2020,Maharashtra,Mumbai Central (MH-01),HCV,Bus,Tata Motors,Diesel,BS4,3760,45,4,REG19,27/03/2020,3/27/2020
REG100782,1/3/2020,2020,Punjab,Jalandhar (PB-08),4W,Sedan,Hyundai,Diesel,BS6,800,8,4,REG19,1/3/2020,1/3/2020
REG100783,27-05-2024,2024,West Bengal,Siliguri (WB-73),2W,Moped,Bajaj,Petrol,BS6,350,2,0,REG19,27/05/2024,5/27/2024
REG100784,12/12/2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Motorcycle,Ola Electric,Petrol,BS6,150,2,0,REG19,12/12/2024,12/12/2024
REG100785,12/11/2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Motorcycle,Hero,Petrol,BS6,350,2,0,REG19,12/11/2024,12/11/2024
REG100786,21-12-2022,2022,Delhi,Delhi West (DL-08),4W,MUV,Hyundai,Petrol,BS6,1968,6,2,REG19,21/12/2022,12/21/2022
REG100787,20-06-2022,2022,Kerala,Thrissur (KL-08),4W,SUV,Hyundai,Petrol,BS6,1462,8,2,REG19,20/06/2022,6/20/2022
REG100788,4/6/2022,2022,Rajasthan,Ajmer (RJ-01),HCV,Truck,Tata Motors,Diesel,BS6,6700,32,2,REG19,4/6/2022,4/6/2022
REG100789,28-08-2022,2022,Tamil Nadu,Trichy (TN-45),2W,Motorcycle,Royal Enfield,Petrol,BS6,125,2,2,REG19,28/08/2022,8/28/2022
REG100790,7/3/2019,2019,Karnataka,Hubli (KA-25),4W,MUV,Tata Motors,Petrol,BS4,2179,7,5,REG19,7/3/2019,7/3/2019
REG100791,22-09-2023,2023,Kerala,Kozhikode (KL-11),HCV,Trailer,Volvo,Diesel,BS6,5660,45,1,REG19,22/09/2023,9/22/2023
REG100792,21-11-2024,2024,Tamil Nadu,Madurai (TN-58),4W,MUV,Tata Motors,CNG,BS6,2179,5,0,REG19,21/11/2024,11/21/2024
REG100793,28-08-2021,2021,Delhi,Delhi East (DL-02),2W,Motorcycle,Hero,EV,BS6,0,2,3,REG19,28/08/2021,8/28/2021
REG100794,17-03-2022,2022,Karnataka,Mangalore (KA-19),2W,Scooter,Ather,EV,BS6,0,2,2,REG19,17/03/2022,3/17/2022
REG100795,16-10-2023,2023,Rajasthan,Jaipur (RJ-14),2W,Scooter,TVS,Petrol,BS6,0,2,1,REG19,16/10/2023,10/16/2023
REG100796,9/2/2022,2022,Delhi,Delhi South (DL-09),OTH,Tractor,Escorts,Petrol,BS6,4998,45,2,REG19,9/2/2022,9/2/2022
REG100797,20-07-2024,2024,Madhya Pradesh,Bhopal (MP-04),LCV,Mini Truck,Ashok Leyland,CNG,BS6,3298,15,0,REG19,20/07/2024,7/20/2024
REG100798,18-11-2023,2023,Karnataka,Hubli (KA-25),2W,Motorcycle,KTM,CNG,BS6,160,2,1,REG19,18/11/2023,11/18/2023
REG100799,19-10-2021,2021,Punjab,Chandigarh (CH-01),2W,Motorcycle,Ola Electric,EV,BS6,0,2,3,REG19,19/10/2021,10/19/2021
REG100800,5/11/2023,2023,Delhi,Delhi Central (DL-01),4W,SUV,Toyota,Petrol,BS6,1968,5,1,REG19,5/11/2023,5/11/2023
REG100801,17-07-2024,2024,Uttar Pradesh,Agra (UP-80),2W,Scooter,Honda,Petrol,BS6,250,2,0,REG19,17/07/2024,7/17/2024
REG100802,17-12-2023,2023,Gujarat,Surat (GJ-05),2W,Scooter,Suzuki,CNG,BS6,0,2,1,REG19,17/12/2023,12/17/2023
REG100803,1/9/2022,2022,Tamil Nadu,Madurai (TN-58),4W,SUV,Renault,Petrol,BS6,1498,8,2,REG19,1/9/2022,1/9/2022
REG100804,20-09-2022,2022,Karnataka,Mangalore (KA-19),4W,Sedan,Honda,EV,BS6,0,8,2,REG19,20/09/2022,9/20/2022
REG100805,12/2/2023,2023,Madhya Pradesh,Indore (MP-09),4W,Sedan,MG,Diesel,BS6,1498,8,1,REG19,12/2/2023,12/2/2023
REG100806,2/6/2024,2024,Uttar Pradesh,Lucknow (UP-32),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,2956,15,0,REG19,2/6/2024,2/6/2024
REG100807,31-07-2019,2019,Uttar Pradesh,Agra (UP-80),4W,Hatchback,Maruti Suzuki,Diesel,BS4,1000,8,5,REG19,31/07/2019,7/31/2019
REG100808,9/1/2019,2019,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Kia,CNG,BS4,1000,8,5,REG19,9/1/2019,9/1/2019
REG100809,9/6/2024,2024,Tamil Nadu,Coimbatore (TN-37),LCV,Mini Truck,Tata Motors,Diesel,BS6,0,15,0,REG19,9/6/2024,9/6/2024
REG100810,5/11/2020,2020,West Bengal,Asansol (WB-39),4W,SUV,Tata Motors,Petrol,BS4,1498,5,4,REG19,5/11/2020,5/11/2020
REG100811,23-08-2020,2020,Uttar Pradesh,Allahabad (UP-70),2W,Scooter,Honda,Petrol,BS6,250,2,4,REG19,23/08/2020,8/23/2020
REG100812,20-12-2021,2021,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Skoda,CNG,BS6,1968,7,3,REG19,20/12/2021,12/20/2021
REG100813,14-01-2023,2023,Karnataka,Mysore (KA-09),2W,Motorcycle,Honda,Petrol,BS6,150,2,1,REG19,14/01/2023,1/14/2023
REG100814,26-08-2019,2019,West Bengal,Howrah (WB-13),4W,MUV,Renault,Petrol,BS6,1197,8,5,REG19,26/08/2019,8/26/2019
REG100815,27-10-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Motorcycle,KTM,EV,BS6,0,2,2,REG19,27/10/2022,10/27/2022
REG100816,10/8/2018,2018,Delhi,Delhi West (DL-08),4W,MUV,Maruti Suzuki,Diesel,BS4,1968,8,6,REG19,10/8/2018,10/8/2018
REG100817,30-10-2021,2021,Kerala,Kollam (KL-02),4W,SUV,Maruti Suzuki,Diesel,BS6,2179,6,3,REG19,30/10/2021,10/30/2021
REG100818,28-11-2022,2022,Kerala,Thiruvananthapuram (KL-01),3W,E-Rickshaw,Atul Auto,CNG,BS6,0,6,2,REG19,28/11/2022,11/28/2022
REG100819,28-05-2022,2022,Karnataka,Mangalore (KA-19),4W,SUV,MG,EV,BS6,0,8,2,REG19,28/05/2022,5/28/2022
REG100820,3/12/2021,2021,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Ola Electric,CNG,BS6,350,2,3,REG19,3/12/2021,3/12/2021
REG100821,30-08-2023,2023,Tamil Nadu,Madurai (TN-58),4W,MUV,Honda,EV,BS6,0,6,1,REG19,30/08/2023,8/30/2023
REG100822,21-02-2020,2020,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Tata Motors,Petrol,BS6,1968,8,4,REG19,21/02/2020,2/21/2020
REG100823,12/12/2024,2024,Gujarat,Surat (GJ-05),2W,Motorcycle,Hero,Petrol,BS6,125,2,0,REG19,12/12/2024,12/12/2024
REG100824,3/3/2019,2019,Tamil Nadu,Trichy (TN-45),2W,Motorcycle,Yamaha,EV,BS4,0,2,5,REG19,3/3/2019,3/3/2019
REG100825,17-05-2018,2018,Delhi,Delhi North (DL-04),2W,Scooter,Yamaha,Hybrid,BS4,125,2,6,REG19,17/05/2018,5/17/2018
REG100826,26-02-2023,2023,Kerala,Kollam (KL-02),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1000,5,1,REG19,26/02/2023,2/26/2023
REG100827,21-03-2024,2024,Telangana,Hyderabad (TS-09),3W,Auto Rickshaw,Kinetic Green,CNG,BS6,250,7,0,REG19,21/03/2024,3/21/2024
REG100828,4/3/2021,2021,West Bengal,Asansol (WB-39),3W,Auto Rickshaw,Piaggio,EV,BS6,0,6,3,REG19,4/3/2021,4/3/2021
REG100829,17-05-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Scooter,Yamaha,Petrol,BS6,200,2,2,REG19,17/05/2022,5/17/2022
REG100830,4/8/2023,2023,Kerala,Thrissur (KL-08),2W,Moped,Bajaj,Petrol,BS6,150,2,1,REG19,4/8/2023,4/8/2023
REG100831,16-01-2023,2023,Tamil Nadu,Salem (TN-30),2W,Scooter,KTM,EV,BS6,0,2,1,REG19,16/01/2023,1/16/2023
REG100832,26-03-2021,2021,Tamil Nadu,Chennai Central (TN-01),4W,Hatchback,Hyundai,Diesel,BS4,1968,5,3,REG19,26/03/2021,3/26/2021
REG100833,4/12/2024,2024,Uttar Pradesh,Lucknow (UP-32),4W,Sedan,Skoda,Petrol,BS6,0,7,0,REG19,4/12/2024,4/12/2024
REG100834,26-06-2023,2023,Uttar Pradesh,Varanasi (UP-65),LCV,Light Bus,Eicher,Diesel,BS6,2523,12,1,REG19,26/06/2023,6/26/2023
REG100835,15-11-2020,2020,Telangana,Khammam (TS-07),HCV,Tanker,BharatBenz,Diesel,BS6,0,45,4,REG19,15/11/2020,11/15/2020
REG100836,13-02-2020,2020,Kerala,Kozhikode (KL-11),LCV,Light Bus,Force Motors,EV,BS6,0,15,4,REG19,13/02/2020,2/13/2020
REG100837,19-09-2021,2021,Rajasthan,Udaipur (RJ-27),4W,Sedan,Renault,Diesel,BS6,0,7,3,REG19,19/09/2021,9/19/2021
REG100838,30-10-2024,2024,Telangana,Nizamabad (TS-05),4W,Sedan,Maruti Suzuki,Petrol,BS6,1498,6,0,REG19,30/10/2024,10/30/2024
REG100839,30-06-2020,2020,Gujarat,Rajkot (GJ-03),OTH,Tractor,Mahindra,Diesel,BS6,3760,1,4,REG19,30/06/2020,6/30/2020
REG100840,25-10-2021,2021,Madhya Pradesh,Bhopal (MP-04),2W,Moped,Hero,EV,BS6,0,2,3,REG19,25/10/2021,10/25/2021
REG100841,21-10-2021,2021,Kerala,Kollam (KL-02),LCV,Mini Truck,Ashok Leyland,Diesel,BS6,2956,15,3,REG19,21/10/2021,10/21/2021
REG100842,4/7/2022,2022,Uttar Pradesh,Allahabad (UP-70),4W,Hatchback,Toyota,Diesel,BS4,2179,5,2,REG19,4/7/2022,4/7/2022
REG100843,1/9/2022,2022,Tamil Nadu,Salem (TN-30),4W,Hatchback,Hyundai,Petrol,BS6,1462,8,2,REG19,1/9/2022,1/9/2022
REG100844,16-05-2022,2022,Karnataka,Hubli (KA-25),4W,MUV,Skoda,CNG,BS6,2179,8,2,REG19,16/05/2022,5/16/2022
REG100845,31-12-2022,2022,West Bengal,Siliguri (WB-73),4W,MUV,Tata Motors,Petrol,BS6,2179,6,2,REG19,31/12/2022,12/31/2022
REG100846,22-03-2022,2022,Kerala,Kollam (KL-02),LCV,Mini Truck,Mahindra,Diesel,BS6,3298,9,2,REG19,22/03/2022,3/22/2022
REG100847,2/3/2018,2018,Punjab,Jalandhar (PB-08),2W,Scooter,Ola Electric,Petrol,BS4,200,2,6,REG19,2/3/2018,2/3/2018
REG100848,3/8/2020,2020,Gujarat,Vadodara (GJ-06),2W,Scooter,Hero,Petrol,BS6,100,2,4,REG19,3/8/2020,3/8/2020
REG100849,4/2/2019,2019,Gujarat,Vadodara (GJ-06),2W,Moped,KTM,Petrol,BS4,100,2,5,REG19,4/2/2019,4/2/2019
REG100850,7/11/2022,2022,Uttar Pradesh,Varanasi (UP-65),4W,MUV,Toyota,Diesel,BS6,1197,6,2,REG19,7/11/2022,7/11/2022
REG100851,7/12/2021,2021,Telangana,Karimnagar (TS-01),4W,MUV,Tata Motors,Hybrid,BS6,1968,8,3,REG19,7/12/2021,7/12/2021
REG100852,26-03-2021,2021,Delhi,Delhi North (DL-04),2W,Motorcycle,KTM,CNG,BS6,100,2,3,REG19,26/03/2021,3/26/2021
REG100853,4/10/2020,2020,Punjab,Amritsar (PB-02),4W,Hatchback,Renault,Petrol,BS6,800,6,4,REG19,4/10/2020,4/10/2020
REG100854,15-04-2024,2024,West Bengal,Asansol (WB-39),LCV,Mini Truck,Eicher,Diesel,BS6,2956,15,0,REG19,15/04/2024,4/15/2024
REG100855,9/9/2021,2021,Punjab,Jalandhar (PB-08),2W,Moped,Ola Electric,Petrol,BS6,100,2,3,REG19,9/9/2021,9/9/2021
REG100856,28-02-2021,2021,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Ather,Petrol,BS6,110,2,3,REG19,28/02/2021,2/28/2021
REG100857,28-07-2019,2019,Telangana,Warangal (TS-03),2W,Motorcycle,Royal Enfield,Hybrid,BS4,125,2,5,REG19,28/07/2019,7/28/2019
REG100858,20-02-2018,2018,Maharashtra,Aurangabad (MH-20),HCV,Bus,Tata Motors,CNG,BS4,5660,2,6,REG19,20/02/2018,2/20/2018
REG100859,27-10-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Motorcycle,Hero,Petrol,BS6,150,2,4,REG19,27/10/2020,10/27/2020
REG100860,11/10/2019,2019,West Bengal,Asansol (WB-39),4W,MUV,Hyundai,Petrol,BS4,1968,5,5,REG19,11/10/2019,11/10/2019
REG100861,12/12/2022,2022,West Bengal,Kolkata (WB-01),2W,Motorcycle,Hero,Petrol,BS6,110,2,2,REG19,12/12/2022,12/12/2022
REG100862,22-11-2021,2021,Delhi,Delhi South (DL-09),4W,Sedan,Kia,CNG,BS6,0,6,3,REG19,22/11/2021,11/22/2021
REG100863,19-08-2024,2024,Tamil Nadu,Madurai (TN-58),4W,Sedan,Mahindra,Diesel,BS6,800,5,0,REG19,19/08/2024,8/19/2024
REG100864,19-05-2024,2024,West Bengal,Asansol (WB-39),2W,Motorcycle,Hero,Petrol,BS6,0,2,0,REG19,19/05/2024,5/19/2024
REG100865,24-01-2024,2024,Gujarat,Rajkot (GJ-03),OTH,Road Roller,TAFE,Diesel,BS6,4998,52,0,REG19,24/01/2024,1/24/2024
REG100866,10/8/2023,2023,Punjab,Chandigarh (CH-01),2W,Scooter,Honda,Petrol,BS6,150,2,1,REG19,10/8/2023,10/8/2023
REG100867,29-12-2023,2023,Punjab,Patiala (PB-11),HCV,Trailer,MAN,Diesel,BS6,6700,32,1,REG19,29/12/2023,12/29/2023
REG100868,10/3/2018,2018,Delhi,Delhi West (DL-08),2W,Scooter,Ola Electric,Petrol,BS4,100,2,6,REG19,10/3/2018,10/3/2018
REG100869,27-12-2022,2022,Punjab,Jalandhar (PB-08),2W,Motorcycle,TVS,Petrol,BS6,350,2,2,REG19,27/12/2022,12/27/2022
REG100870,16-08-2018,2018,Uttar Pradesh,Allahabad (UP-70),2W,Moped,Honda,EV,BS4,0,2,6,REG19,16/08/2018,8/16/2018
REG100871,5/1/2023,2023,Rajasthan,Udaipur (RJ-27),4W,SUV,Honda,Petrol,BS6,1000,8,1,REG19,5/1/2023,5/1/2023
REG100872,3/7/2021,2021,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,Hero,Hybrid,BS6,150,2,3,REG19,3/7/2021,3/7/2021
REG100873,23-05-2024,2024,Karnataka,Belgaum (KA-22),4W,Sedan,Mahindra,Diesel,BS6,2179,6,0,REG19,23/05/2024,5/23/2024
REG100874,13-09-2024,2024,Maharashtra,Pune (MH-12),OTH,Road Roller,Sonalika,Diesel,BS6,6700,2,0,REG19,13/09/2024,9/13/2024
REG100875,7/3/2019,2019,Telangana,Warangal (TS-03),4W,Sedan,Hyundai,CNG,BS4,1498,6,5,REG19,7/3/2019,7/3/2019
REG100876,10/5/2023,2023,Telangana,Nizamabad (TS-05),2W,Moped,Hero,CNG,BS6,400,2,1,REG19,10/5/2023,10/5/2023
REG100877,20-05-2024,2024,West Bengal,Kolkata (WB-01),HCV,Truck,Volvo,Diesel,BS6,3760,52,0,REG19,20/05/2024,5/20/2024
REG100878,30-09-2021,2021,West Bengal,Siliguri (WB-73),2W,Motorcycle,Bajaj,Petrol,BS6,350,2,3,REG19,30/09/2021,9/30/2021
REG100879,26-04-2023,2023,Rajasthan,Jaipur (RJ-14),2W,Scooter,Honda,EV,BS6,0,2,1,REG19,26/04/2023,4/26/2023
REG100880,15-01-2023,2023,Karnataka,Mysore (KA-09),2W,Scooter,Royal Enfield,Petrol,BS6,350,2,1,REG19,15/01/2023,1/15/2023
REG100881,24-06-2019,2019,Uttar Pradesh,Lucknow (UP-32),4W,SUV,Kia,Petrol,BS4,800,7,5,REG19,24/06/2019,6/24/2019
REG100882,13-02-2022,2022,Telangana,Warangal (TS-03),HCV,Tanker,Tata Motors,Diesel,BS6,3760,1,2,REG19,13/02/2022,2/13/2022
REG100883,29-01-2019,2019,Uttar Pradesh,Agra (UP-80),LCV,Light Bus,Tata Motors,Diesel,BS4,3298,15,5,REG19,29/01/2019,1/29/2019
REG100884,25-07-2018,2018,Madhya Pradesh,Jabalpur (MP-20),2W,Moped,Hero,EV,BS4,0,2,6,REG19,25/07/2018,7/25/2018
REG100885,8/8/2022,2022,Punjab,Jalandhar (PB-08),2W,Moped,Ola Electric,Petrol,BS6,0,2,2,REG19,8/8/2022,8/8/2022
REG100886,9/4/2022,2022,Punjab,Chandigarh (CH-01),2W,Moped,Hero,EV,BS6,0,2,2,REG19,9/4/2022,9/4/2022
REG100887,22-11-2024,2024,Karnataka,Bangalore Central (KA-01),4W,Hatchback,Skoda,Petrol,BS6,0,7,0,REG19,22/11/2024,11/22/2024
REG100888,31-01-2020,2020,Rajasthan,Udaipur (RJ-27),3W,Tempo,Mahindra,CNG,BS6,225,6,4,REG19,31/01/2020,1/31/2020
REG100889,16-03-2022,2022,Punjab,Jalandhar (PB-08),3W,Tempo,TVS,CNG,BS6,225,6,2,REG19,16/03/2022,3/16/2022
REG100890,16-03-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Scooter,Hero,EV,BS6,0,2,2,REG19,16/03/2022,3/16/2022
REG100891,23-11-2020,2020,Delhi,Delhi South (DL-09),4W,Hatchback,Honda,Diesel,BS6,1462,5,4,REG19,23/11/2020,11/23/2020
REG100892,17-10-2021,2021,Rajasthan,Jodhpur (RJ-19),4W,MUV,Skoda,EV,BS6,0,7,3,REG19,17/10/2021,10/17/2021
REG100893,23-11-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Scooter,Hero,EV,BS6,0,2,4,REG19,23/11/2020,11/23/2020
REG100894,12/7/2023,2023,Kerala,Kochi (KL-07),3W,Auto Rickshaw,Piaggio,Diesel,BS6,225,6,1,REG19,12/7/2023,12/7/2023
REG100895,29-05-2022,2022,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,350,2,2,REG19,29/05/2022,5/29/2022
